# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
99.5000 A7 2000000 1 1.5000 Avenue_11 Avenue_20 299 N Avenue_11->Avenue_20
101.6000 A6 2000000 2 20.6000 Street_8 Street_7 299 N Street_8->Street_4->Street_7
120.1000 A8 2000000 2 3.1000 Avenue_16 Avenue_20 299 N Avenue_16->Street_6->Avenue_20
160.8000 A1 2000000 2 150.8000 Street_1 Avenue_16 297 N Street_1->Street_4->Avenue_16
176.3000 A4 2000000 2 120.3000 Street_5 Street_3 297 N Street_5->Street_7->Street_3
237.6000 A9 2000000 2 109.6000 Street_2 Street_9 298 N Street_2->Street_7->Street_9
252.1000 A12 2000000 2 84.1000 Street_1 Street_3 298 N Street_1->Street_6->Street_3
278.9000 A10 2000000 2 137.9000 Avenue_16 Street_9 297 N Avenue_16->Avenue_20->Street_9
332.8000 A5 2000000 2 261.8000 Street_3 Street_9 295 N Street_3->Street_8->Street_9
360.1000 A11 2000000 4 202.1000 Avenue_16 Avenue_19 296 N Avenue_16->Street_4->Street_6->Street_2->Avenue_19
384.8000 A15 2000000 3 175.8000 Street_4 Street_8 297 N Street_4->Avenue_16->Street_6->Street_8
395.2000 A21 2000000 1 96.2000 Street_9 Street_1 298 N Street_9->Street_1
416.5000 A16 2000000 2 197.5000 Street_7 Street_3 296 N Street_7->Street_9->Street_3
418.0000 A18 2000000 1 168.0000 Street_3 Street_9 297 N Street_3->Street_9
452.4000 A2 2000000 5 423.4000 Street_9 Avenue_17 292 N Street_9->Street_4->Street_1->Avenue_20->Avenue_14->Avenue_17
479.5000 A14 2000000 4 280.5000 Street_10 Avenue_14 295 N Street_10->Street_8->Street_2->Street_6->Avenue_14
492.1000 A13 2000000 4 311.1000 Street_1 Street_7 294 N Street_1->Street_5->Street_3->Street_9->Street_7
516.4000 A3 2000000 2 476.4000 Avenue_13 Avenue_18 292 N Avenue_13->Avenue_14->Avenue_18
516.8000 A20 2000000 2 229.8000 Street_7 Street_6 296 N Street_7->Street_10->Street_6
517.9000 A23 2000000 1 191.9000 Avenue_18 Avenue_14 296 N Avenue_18->Avenue_14
525.1000 A32 2000000 1 68.1000 Street_3 Street_10 298 N Street_3->Street_10
542.3000 A22 2000000 5 229.3000 Avenue_16 Street_7 296 N Avenue_16->Street_2->Street_6->Street_8->Street_4->Street_7
543.8000 A26 2000000 4 175.8000 Avenue_20 Street_7 297 N Avenue_20->Street_2->Street_6->Street_4->Street_7
566.8000 A17 2000000 5 328.8000 Avenue_13 Street_4 294 N Avenue_13->Avenue_14->Avenue_17->Street_5->Street_2->Street_4
596.8000 A38 2000000 1 51.8000 Street_8 Street_5 299 N Street_8->Street_5
602.6000 A28 2000000 1 207.6000 Avenue_18 Street_6 296 N Avenue_18->Street_6
629.5000 A44 2000000 1 1.5000 Avenue_19 Avenue_13 299 N Avenue_19->Avenue_13
690.1000 A43 2000000 2 77.1000 Street_10 Street_4 298 N Street_10->Street_7->Street_4
694.7000 A24 2000000 3 354.7000 Street_6 Avenue_15 294 N Street_6->Avenue_20->Avenue_19->Avenue_15
695.3000 A39 2000000 1 135.3000 Street_5 Street_2 297 N Street_5->Street_2
728.7000 A19 2000000 2 460.7000 Street_6 Avenue_13 292 N Street_6->Avenue_14->Avenue_13
743.9000 A52 2000000 1 4.9000 Street_1 Street_9 299 N Street_1->Street_9
786.7000 A46 2000000 1 128.7000 Street_6 Street_4 297 N Street_6->Street_4
816.7000 A29 2000000 3 407.7000 Avenue_18 Avenue_11 293 N Avenue_18->Avenue_14->Avenue_16->Avenue_11
822.6000 A45 2000000 2 182.6000 Street_1 Street_7 296 N Street_1->Street_8->Street_7
826.7000 A34 2000000 3 331.7000 Avenue_19 Street_6 294 N Avenue_19->Avenue_15->Street_7->Street_6
845.2000 A49 2000000 1 147.2000 Avenue_20 Avenue_14 297 N Avenue_20->Avenue_14
856.7000 A31 2000000 2 417.7000 Street_10 Avenue_12 293 N Street_10->Street_6->Avenue_12
